354;3022038075
343;3021868203
5043;3021372987
342;3021459675
304;3021123595
218;3023100731
5091;3021962923
326;3021338555
183;3021436379
214;3024016651
48;3021134971
151;3022463739
330;3021106475
296;3021591675
170;3023045355
152;3021611371
198;3021359195
353;3021495995
5085;3021936171
352;3021462827
10;3021395179
349;3021235611
90;3021656779
133;3021658667
278;3022909051
132;3025773467
23;3022595019
345;3028260779
272;3023766555
258;3028338795
355;3021628363
182;3021617179
146;3021108667
77;3021916475
316;3021142427
5049;3021124971
224;3021438187
289;3021394843
358;3021284331
213;3021701387
5092;3021733067
337;3021609403
348;3021337051
338;3023172971
222;3023104203
175;3021140123
5090;3021452299
69;3022913275
201;3021969323
247;3027997611
318;3028059403
160;3028737867
239;3021527883
7;3029350251
113;3029458747
317;3021316251
223;3022570427
347;3021708811
360;3021352139
344;3023756667
56;3022084827
350;3023932187
335;3022907051
357;3021240427
274;3022030059
322;3027920875
290;3029543579
186;3029352011
266;3028257979
231;3028278859
5089;3025705147
167;3023589435
212;3021368603
299;3029691099
260;3028090971
261;3027408523
194;3028578475
282;3021548283
109;3021110603
62;3021403115
5088;3027896091
230;3029565179
209;3029498987
307;3021428107
346;3023932539
238;3021258011
11;3022875531
6;3022138075
193;3021144427
203;3021352715
108;3022050347
126;3021511723
139;3021390523
204;3024026907
6031;3022173099
6029;3021637931
6019;3021633307
6021;3021615435
6023;3022969963
6032;3021475979
6001;3021659019
6006;3021180315
6004;3021953355
6002;3022266635
6011;3021615243
6009;3021848523
6026;3021379787
6024;3021258715
6014;3021955259
6012;3022969947
6034;3021764795
6027;3021928795
6022;3021418923
6020;3021848267
6018;3022693739
6030;3021646315
6028;3023699563
6033;3021573979
6035;3023034123
6037;3021645035
6039;3021470507
6036;3021407051
6000;3022149995
6003;3021328731
6005;3021416827
6007;3021845435
6010;3021191579
6008;3021371435
6013;3022147995
6015;3021926763
6017;3021203147
6025;3022179611
6038;3021738411
6016;3023627339
5041;3023142747
5017;3021470299
5015;3022203547
5013;3022175291
5010;3021845467
5022;3023291051
5001;3021848331
5029;3021312027
5008;3022173339
5007;3021475707
5024;3023937323
5021;3022784043
5023;3021276747
5012;3022519355
5016;3021617275
5019;3023973899
5034;3022247675
5033;3022866971
5031;3021256075
5039;3021382043
5045;3021957163
5047;3021650107
5042;3021968283
5044;3021330683
5038;3023695659
5040;3021377691
5028;3023284651
5030;3021402507
5032;3022637371
5037;3022794971
5055;3021561835
5051;3021624715
5046;3021510299
5036;3022680379
5048;3022716219
5057;3022779627
5059;3023352571
5054;3023025003
5052;3021508811
5050;3022592315
5043;3022203147
5035;3022461195
5020;3022551611
5018;3021674571
5027;3021724939
5025;3021938251
5004;3022205163
5002;3022263067
5009;3021375867
5026;3023013627
5005;3021615291
5003;3021515003
5000;3022212491
5011;3021405275
5014;3021326139
5053;3023943995
5006;3022212315
5049;3022694363
5056;3021695419
5058;3021424379
